agg_id,treat,prop_score,fu_survey_year,hhinc_yrly_end,profits_yrly_end,rev_yrly_end,exp_yrly_end,hhexp_yrly_end,loan_size,prinpaid,interest_rate,repaytime,intpaid,penalty,paid_total,net_revenue,css_creditscorefinal,css_yearsataddress,own_house,sari,own_anybus,max_yearsinbusiness,css_regularworkers,css_traveltime,css_travelcost,css_stockvalue,css_assetvalue,css_noofbusiness,lower_window,app_year,hhsize,age,gender,education,married,savingsamt,hhinc_yrly_base,profits_yrly_base,rev_yrly_base,exp_yrly_base,hhexp_yrly_base,hhasset_yrly_base,revenue_fees,revenue_interest,log_hhinc,default_value,high_school,college,bank_profits_level,bank_profits_pp
320599,1,0.8434873949579832,2007,13500,13500,90000,24975,6750,0,NA,NA,1,NA,NA,NA,0,48,4,0,1,0,3,0,10,16,50000,15000,1,0,2006,3,44,1,1,1,4500,22812.5,136875,247515.625,110640.625,5737.5,1812.5,0,0,9.510519035757246,-0,1,1,0,0
320602,1,0.546583850931677,2007,3000,3000,0,8475,3750,625,10000,30,1,758.29,0,10758.29,47.39312500000006,40,7,0,1,0,6,0,15,20,20000,12000,1,1,2006,4,33,1,2,0,0,26614.583333333332,159687.5,287437.5,127750,4687.5,3062.5,0.6465496575343082,46.74657534246575,8.006700845440367,-0,1,0,-16.938263570336346,1.0677396633170702
320603,1,0.546583850931677,2007,3060,3060,21750,18690,5250,625,10000,30,1,758.29,0,10758.29,47.39312500000006,45,5,1,1,1,3,0,15,30,25000,15000,1,1,2006,4,45,1,2,1,0,26614.583333333332,159687.5,287893.75,128206.25,3187.5,2687.5,0.6465496575343082,46.74657534246575,8.026496938945412,-0,1,0,-16.938263570336346,1.0677396633170702
320604,1,0.8434873949579832,2007,1500,1500,22500,21000,5250,0,NA,NA,1,NA,NA,NA,0,47,10,1,0,1,10,0,20,16,5000,14000,1,0,2006,4,46,1,2,1,0,9505.208333333334,57031.25,91980,34948.75,3600,1718.75,0,0,7.313886831633462,-0,1,0,0,0
320612,1,0.8434873949579832,2007,31875,31875,65850,29925,15075,562.5,9000,30,1,684.77,1.81,9686.58,42.91125,58,20,1,1,1,11,3,15,18,100000,20000,1,0,2006,3,59,1,3,1,40000,30416.666666666668,182500,331921.875,149421.875,5100,11062.5,0.8393321917808122,42.07191780821919,10.36960865451764,-0,0,0,-18.107638570336405,-2.566493670016275
320613,1,0.8434873949579832,2007,30187.5,30187.5,193500,163312.5,6000,750,12000,30,1,910,0,12910,56.875,52,3,1,0,1,1,2,5,14,100000,35000,1,0,2006,3,36,1,1,1,5300,17379.322916666668,104275.9375,189959.6875,85683.75,4447.5,1968.75,0.779109589041127,56.09589041095887,10.31521633614026,-0,1,1,-14.0813885703364,6.588172996650393
320631,1,0.8434873949579832,2008,2250,2250,5625,12525,4125,0,NA,NA,1,NA,NA,NA,0,54,23,1,1,1,10,0,10,20,10000,9000,1,0,2007,6,43,1,2,1,0,13307.291666666666,79843.75,144357.5,64513.75,1500,956.25,0,0,7.719129840906732,-0,1,0,0,0
320632,1,0.8434873949579832,2007,1003.5,1003.5,34875,29671.5,6975,0,NA,NA,1,NA,NA,NA,0,47,35,1,0,1,2,0,20,16,10000,7000,1,0,2006,6,59,1,1,0,0,14664.635416666666,87987.8125,159185.625,71197.8125,3262.5,1250,0,0,6.9122451842549895,-0,1,1,0,0
320637,1,0.8434873949579832,2007,22500,22500,75000,49575,6750,625,10000,30,1,758.77,16.28,10775.05,48.44062500000006,51,19,1,0,1,8,3,20,27,4000,5000,1,0,2006,5,49,1,1,0,2000,0,0,4562.5,4562.5,3787.5,1812.5,1.6940496575343076,46.74657534246575,10.021315031649332,-0,1,1,-15.890763570336333,1.2353396633170703
320644,1,0.8434873949579832,2007,45000,45000,225000,222489,11250,1500,24000,30,1,1820,0,25820,113.75,48,17,1,0,0,1,3,20,30,15000,20000,1,0,2006,4,40,1,1,0,10000,59202.239583333336,355213.4375,628279.0625,273065.625,7162.5,6250,1.5582191780824957,112.1917808219175,10.714439990727769,-0,1,1,3.043611429663599,20.38817299665039
